material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap,formation_energy,energy_hull,bulk_modulus,shear_modulus,young_modulus,data_source,calculation_method
5199,LiCr9O27,9.249854,-7.10229,1.902,-1.70516,2.5734,22.91,12.05,30.75748328794256,high_throughput_screening,DFT_validated
5207,LiBi4F20,9.301582,-6.82277,1.589,-1.80548,0.0846,35.21,24.41,59.4838888034451,high_throughput_screening,DFT_validated
1592,GaSe,7.13609,-4.93224,0.725,-0.58159,0.029,33.0,21.14,52.26052938238721,DFT_training_benchmark,DFT
908,VS2,6.11302,-4.86907,0.0,-0.94178,2.099,49.36,29.91,74.65148828585876,DFT_training_benchmark,DFT
2376,PF5,5.80719,-4.39188,7.356,-2.57302,0.0,13.99,7.43,18.937475708502024,DFT_training_benchmark,DFT
6950,VSe,6.23494,-4.28669,0.0,-0.51504,1.6556,93.16,20.69,57.79166339074524,DFT_training_benchmark,DFT
7076,ZrS2,6.20593,-4.22558,0.911,-1.68597,1.8375,44.09,31.87,77.04602595345438,DFT_training_benchmark,DFT
2307,ZrO2,5.47201,-4.20357,3.914,-3.64248,1.4873,178.77,46.68,128.82699943395255,DFT_training_benchmark,DFT
3073,PbSe,6.17733,-4.19048,0.76,-0.59552,0.2479,50.29,33.33,81.89734690553746,DFT_training_benchmark,DFT
7042,FeC2O6,5.77587,-4.17171,0.0,-1.17809,0.0,18.999999999999996,12.000000000000002,29.739130434782616,DFT_training_benchmark,DFT
7120,AgClO2,6.2302,-4.16693,0.353,0.24216,1.2206,19.57,1.32,3.8729235382308844,DFT_training_benchmark,DFT
4684,K(SbSe2)2,5.53608,-4.08341,1.091,-0.52624,1.2058,25.19,13.41,34.167016183412,DFT_training_benchmark,DFT
1995,HfCl4,5.24459,-4.03627,3.912,-1.87674,0.8768,14.97,9.3,23.11361372440509,DFT_training_benchmark,DFT
3550,SbI3,6.05501,-3.99744,2.003,-0.3086,0.0848,10.77,5.7,14.535674822415151,DFT_training_benchmark,DFT
6960,ZrBr3,5.79321,-3.98859,0.407,-1.24148,0.0,5.000000000000001,4.0,9.473684210526315,DFT_training_benchmark,DFT
1068,Nb2O5,4.99861,-3.9619,1.84,-2.39579,3.4128,145.69,57.55,152.56183635922528,DFT_training_benchmark,DFT
6967,NaHO,5.96233,-3.9428,3.652,-1.39886,0.7984,31.39,15.17,39.19587250777391,DFT_training_benchmark,DFT
6995,CN2,5.49157,-3.84911,2.017,0.82056,5.1075,220.2,185.38,434.27277713421125,DFT_training_benchmark,DFT
7124,PbIF,5.70706,-3.84182,2.013,-1.59793,0.0,31.31,15.55,40.02406375593716,DFT_training_benchmark,DFT
1526,VS,5.09963,-3.81623,0.0,-0.63798,1.7655,141.59,68.45,176.85114046470136,DFT_training_benchmark,DFT
1358,Cu2Te,5.17271,-3.78192,0.0,0.12454,0.0944,35.98,13.69,36.44738797993916,DFT_training_benchmark,DFT
3857,AgSb2F12,5.40842,-3.77956,0.535,-2.07728,0.062,21.79,10.55,27.25185063224447,DFT_training_benchmark,DFT
6466,Bi2Pt,5.84296,-3.77778,0.0,0.04235,0.0,30.999999999999996,9.0,24.61764705882353,DFT_training_benchmark,DFT
6493,BiBr3,5.50025,-3.74499,2.69,-0.74825,0.0,13.02,6.09,15.805674418604648,DFT_training_benchmark,DFT
425,TaS2,5.67032,-3.72668,0.0,-1.14598,2.7287,66.2,41.04,102.03485227841763,DFT_training_benchmark,DFT
7135,BCl3,5.08893,-3.67679,4.531,-0.95171,0.9536,8.78,5.61,13.874873239436623,DFT_training_benchmark,DFT
6976,SbClO,5.75472,-3.6681,1.109,-0.91639,0.9131,91.14,36.63,96.90734978229318,DFT_training_benchmark,DFT
6492,AlPd5I2,5.09837,-3.64809,0.0,-0.3509,0.0,20.000000000000004,12.999999999999998,32.05479452054794,DFT_training_benchmark,DFT
6982,NbS2,5.37693,-3.58174,0.0,-1.08445,2.3875,50.4,32.0,79.23144104803494,DFT_training_benchmark,DFT
7376,Bi2Pt,5.57899,-3.53832,0.0,0.04235,0.0,30.999999999999996,9.0,24.61764705882353,DFT_training_benchmark,DFT
7413,PI2,5.37071,-3.53681,1.594,-0.05037,0.6738,11.07,6.82,16.974184361728703,DFT_training_benchmark,DFT
7050,TiGeO3,5.64598,-3.52398,2.01,-2.20488,2.0848,187.73,87.98,228.27889583365325,DFT_training_benchmark,DFT
6989,Ga,4.84575,-3.51518,0.0,0.04287,0.0429,45.19,6.45,18.47119771863118,DFT_training_benchmark,DFT
6948,Ag2Se,5.83168,-3.50413,0.074,-0.06499,0.2296,63.44,14.85,41.32551542623192,DFT_training_benchmark,DFT
6975,SnF4,4.87863,-3.49809,3.368,-2.38709,0.0116,19.58,13.71,33.34680745341615,DFT_training_benchmark,DFT
7126,NiS2,5.71763,-3.49629,0.0,0.00882,1.4334,26.87,10.2,27.162933597621407,DFT_training_benchmark,DFT
6527,CoI2,5.58275,-3.46565,0.0,0.01733,0.7879,26.82,13.25,34.12960196350443,DFT_training_benchmark,DFT
6074,ScAs2,5.56664,-3.44182,0.0,-0.72684,1.8997,75.8,34.72,90.36313139020295,DFT_training_benchmark,DFT
1119,PI3,5.32907,-3.42981,1.972,-0.03756,0.4933,9.81,6.37,15.709701117318438,DFT_training_benchmark,DFT
4539,Mg(ReO4)2,5.0132,-3.37735,1.1,-1.91706,0.0,17.999999999999996,12.999999999999998,31.432835820895523,DFT_training_benchmark,DFT
5233,Sr2FeBrO3,4.94632,-3.37196,0.0,-2.38774,1.1993,57.68,36.43,90.28281663245333,DFT_training_benchmark,DFT
3765,Nb3SBr7,5.48065,-3.36982,0.74,-1.05071,1.8609,36.92,22.71,56.53763991908295,DFT_training_benchmark,DFT
7087,AgBiO2,4.9864,-3.33956,1.304,-0.91121,1.1324,56.02,21.61,57.443611535825376,DFT_training_benchmark,DFT
6482,TiBr3,4.85467,-3.33387,0.0,-1.23487,0.5834,21.22,14.69,35.807226547543074,DFT_training_benchmark,DFT
7639,CrSe,5.39394,-3.31806,0.0,-0.30108,1.9061,59.67,19.44,52.607020408163265,DFT_training_benchmark,DFT
7090,ErAgP2Se6,5.1191,-3.30044,1.651,-0.54348,1.7896,29.04,14.19,36.60742671009772,DFT_training_benchmark,DFT
7113,SnO,5.66431,-3.27857,0.507,-1.42902,0.2262,47.82,32.25,78.9924022537135,DFT_training_benchmark,DFT
7029,SiS,5.2337,-3.26093,0.658,-0.38924,1.4819,6.63,5.44,12.815033557046979,DFT_training_benchmark,DFT
6994,Se,4.8803,-3.23578,0.0,0.13368,0.1337,70.6,17.58,48.69793356003138,DFT_training_benchmark,DFT
1946,AuS2,5.10892,-3.22755,0.0,0.02501,1.255,38.77,22.22,55.96783801342669,DFT_training_benchmark,DFT
4758,NaSbO2,4.73705,-3.19574,0.656,-1.51753,1.0491,72.97,33.5,87.16158234618281,DFT_training_benchmark,DFT
5281,MnF4,4.96872,-3.14918,0.033,-2.27007,0.3222,44.99,32.97,79.49197749196142,DFT_training_benchmark,DFT
4653,SmZnPO,4.76927,-3.08075,1.474,-1.84605,0.0,93.99999999999997,55.00000000000001,138.0712166172107,DFT_training_benchmark,DFT
5543,NaMgSb,4.95886,-3.0807,1.172,-0.57515,0.0,29.1,17.86,44.480163560289085,DFT_training_benchmark,DFT
166,NbF3,5.05978,-3.05827,0.0,-2.69514,0.5865,95.03,44.96,116.50640569610665,DFT_training_benchmark,DFT
6993,Ag2SO4,4.81966,-2.98162,1.29,-0.91061,1.6617,70.79,9.07,26.09550081286127,DFT_training_benchmark,DFT
5506,TiTl2F6,4.40349,-2.94984,3.589,-2.89474,0.0,37.11,13.77,36.76292805755396,DFT_training_benchmark,DFT
6525,Li2CeAs2,5.07631,-2.94583,0.706,-1.03869,1.5402,52.51,33.05,81.95560656941967,DFT_training_benchmark,DFT
7707,VOF,4.79311,-2.93532,0.633,-2.57675,1.0992,91.08,47.77,121.98381483442884,DFT_training_benchmark,DFT
1444,Au2S,4.78047,-2.91833,2.149,-0.04796,0.7992,74.27,5.02,14.728168371153927,DFT_training_benchmark,DFT
6576,VPbClO3,5.09856,-2.88093,2.0,-2.01368,1.8709,47.91,25.97,65.98706128461991,DFT_training_benchmark,DFT
7051,Mg2SiO4,4.65941,-2.84704,4.021,-2.66738,1.4231,193.24,116.73,291.4956519491708,DFT_training_benchmark,DFT
3274,C,5.04758,-2.83021,3.536,0.23802,0.2419,419.28,475.47,1035.1267542447686,DFT_training_benchmark,DFT
7091,TmAgP2Se6,4.59889,-2.81675,1.667,-0.54342,1.7876,29.24,14.51,37.35157585835859,DFT_training_benchmark,DFT
4455,TlPd2Se3,4.82107,-2.80873,0.0,-0.38275,1.2045,39.37,19.32,49.811944990176826,DFT_training_benchmark,DFT
6941,TePb,4.67154,-2.80693,1.013,-0.41685,0.1779,41.38,30.03,72.54182136602451,DFT_training_benchmark,DFT
6974,Sb2TeSe2,4.48233,-2.80479,0.4,-0.23647,1.4255,36.62,23.21,57.48517171413542,DFT_training_benchmark,DFT
3523,GaTeCl,4.45696,-2.80039,0.0,-0.31173,0.1342,14.89,1.53,4.437993506493505,DFT_training_benchmark,DFT
6283,Na2I,4.54108,-2.78119,0.0,-0.53526,0.1402,9.54,1.45,4.140239441303624,DFT_training_benchmark,DFT
6978,Si,4.9752,-2.75656,0.0,0.16663,0.1714,81.6,65.34,154.72269297736509,DFT_training_benchmark,DFT
1877,HgF2,3.93091,-2.73406,0.862,-1.39914,0.0,97.63,19.52,54.9010543836625,DFT_training_benchmark,DFT
1887,B2S,5.2528,-2.72482,0.0,0.45373,3.3598,101.08,9.45,27.49321692411014,DFT_training_benchmark,DFT
7134,SbCl5,4.95033,-2.6938,1.261,-0.59178,0.2907,11.39,5.29,13.74247085656361,DFT_training_benchmark,DFT
6186,SnSe2,5.18567,-2.66642,0.471,-0.33426,0.8348,37.68,20.75,52.595410718289855,DFT_training_benchmark,DFT
6694,BaV4O8,5.13296,-2.57664,0.0,-2.45408,3.2579,31.42,8.87,24.32132842044022,DFT_training_benchmark,DFT
6739,CaPbI4,4.70123,-2.55472,2.899,-1.18747,0.003,14.93,8.16,20.707444759206798,DFT_training_benchmark,DFT
4014,Mn2F7,4.61931,-2.55409,0.0,-2.05748,0.7491,43.04,23.31,59.236118874237356,DFT_training_benchmark,DFT
4882,TeO3,5.03654,-2.47776,1.376,-0.84544,1.8207,86.33,44.66,114.27459311707558,DFT_training_benchmark,DFT
3635,Nb(SCl)2,4.70075,-2.3514,1.457,-1.08553,1.803,36.1,22.3,55.476799387442576,DFT_training_benchmark,DFT
1498,YMg5,3.96229,-2.31697,0.0,-0.02181,0.1712,37.66,17.25,44.8953006219765,DFT_training_benchmark,DFT
1241,CrO3,4.46775,-2.24277,1.902,-1.70516,2.5734,22.91,12.05,30.75748328794256,DFT_training_benchmark,DFT
6046,SiP2,4.1315,-2.17358,1.194,-0.13219,2.6429,33.73,25.1,60.33420698392589,DFT_training_benchmark,DFT
1776,VSe3,4.43804,-2.16513,0.0,-0.23539,2.0703,18.62,7.81,20.555988691691535,DFT_training_benchmark,DFT
1639,GaTe,3.65293,-2.14492,0.917,-0.35031,0.0486,26.04,16.53,40.92943264659271,DFT_training_benchmark,DFT
7716,Te2W,4.82931,-2.08866,0.95,-0.03597,2.9228,41.34,30.95,74.30636252177842,DFT_training_benchmark,DFT
5347,CuMoO4,4.28502,-2.07836,0.0,-1.6327,2.5389,131.37,58.8,153.4984963900112,DFT_training_benchmark,DFT
