material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap,formation_energy,energy_hull,bulk_modulus,shear_modulus,young_modulus,data_source,calculation_method,mean_atomic_mass,mean_electronegativity,mean_atomic_radius,mean_valence_electrons,li_atomic_fraction,n_elements,anion_electronegativity,pugh_ratio,poisson_ratio,cauchy_pressure,hardness_gpa,vol_expansion_resist
5199,LiCr9O27,9.249854,-7.10229,1.902,-1.70516,2.5734,22.91,12.05,30.75748328794256,high_throughput_screening,DFT_validated,24.51053243243243,2.9405405405405407,0.8175675675675675,13.162162162162161,0.02702702702702703,3.0,3.44,1.9012448132780082,0.2762441198316415,4.240000000000002,1.81955,8.975552637386814
5207,LiBi4F20,9.301582,-6.82277,1.589,-1.80548,0.0846,35.21,24.41,59.4838888034451,high_throughput_screening,DFT_validated,48.913226560000005,3.5464,0.714,16.040000000000003,0.04,3.0,3.98,1.4424416222859484,0.21843278991079668,-8.21,3.68591,14.44888645984688
1592,GaSe,7.13609,-4.93224,0.725,-0.58159,0.029,33.0,21.14,52.26052938238721,DFT_training_benchmark,DFT,74.3415,2.1799999999999997,1.225,14.5,0.0,2.0,2.55,1.5610217596972564,0.23605793241218578,-3.3500000000000014,3.19214,13.348886334592848
908,VS2,6.11302,-4.86907,0.0,-0.94178,2.099,49.36,29.91,74.65148828585876,DFT_training_benchmark,DFT,38.357166666666664,2.263333333333333,1.1166666666666667,12.333333333333332,0.0,2.0,2.58,1.6502841858910062,0.24793527726276757,-0.7350000000000136,4.51641,19.776664017467773
2376,PF5,5.80719,-4.39188,7.356,-2.57302,0.0,13.99,7.43,18.937475708502024,DFT_training_benchmark,DFT,20.994296333333335,3.6816666666666666,0.5833333333333334,16.666666666666668,0.0,2.0,3.98,1.8829071332436071,0.27439271255060727,2.41,1.1219299999999999,5.488885990463526
6950,VSe,6.23494,-4.28669,0.0,-0.51504,1.6556,93.16,20.69,57.79166339074524,DFT_training_benchmark,DFT,64.95075,2.09,1.25,10.5,0.0,2.0,2.55,4.502658289028516,0.3966085884665356,88.01500000000001,3.12419,33.35221645111018
7076,ZrS2,6.20593,-4.22558,0.911,-1.68597,1.8375,44.09,31.87,77.04602595345438,DFT_training_benchmark,DFT,51.78466666666666,2.163333333333333,1.1833333333333331,12.0,0.0,2.0,2.58,1.3834326953247569,0.20875472157913974,-13.539999999999992,4.81237,18.237775410650443
2307,ZrO2,5.47201,-4.20357,3.914,-3.64248,1.4873,178.77,46.68,128.82699943395255,DFT_training_benchmark,DFT,41.07426666666667,2.7366666666666664,0.9166666666666665,12.0,0.0,2.0,3.44,3.829691516709512,0.3798950239283693,151.45500000000004,7.04868,64.77666163847677
3073,PbSe,6.17733,-4.19048,0.76,-0.59552,0.2479,50.29,33.33,81.89734690553746,DFT_training_benchmark,DFT,143.07999999999998,2.44,1.475,15.0,0.0,2.0,2.55,1.508850885088509,0.22858306188925084,-7.889999999999986,5.03283,20.466664167603515
7042,FeC2O6,5.77587,-4.17171,0.0,-1.17809,0.0,18.999999999999996,12.000000000000002,29.739130434782616,DFT_training_benchmark,DFT,19.54031111111111,3.063333333333333,0.711111111111111,14.666666666666666,0.0,3.0,3.44,1.5833333333333328,0.23913043478260865,-1.5000000000000107,1.8120000000000003,7.666664088694822
7120,AgClO2,6.2302,-4.16693,0.353,0.24216,1.2206,19.57,1.32,3.8729235382308844,DFT_training_benchmark,DFT,43.83,2.9924999999999997,0.95,15.0,0.0,3.0,3.44,14.825757575757576,0.4670164917541229,26.055,0.19932,6.669982777912573
4684,K(SbSe2)2,5.53608,-4.08341,1.091,-0.52624,1.2058,25.19,13.41,34.167016183412,DFT_training_benchmark,DFT,85.49404285714286,2.1599999999999997,1.3857142857142857,13.571428571428571,0.0,3.0,2.55,1.8784489187173752,0.27393796358732303,4.260000000000005,2.0249099999999998,9.886663773038578
1995,HfCl4,5.24459,-4.03627,3.912,-1.87674,0.8768,14.97,9.3,23.11361372440509,DFT_training_benchmark,DFT,64.0604,2.7880000000000003,1.11,14.400000000000002,0.0,2.0,3.16,1.6096774193548387,0.2426674045379081,-0.7949999999999982,1.4043,6.023330727366651
