Property,Split,R2,MAE,RMSE
band_gap,Train,0.997,0.057,0.075
band_gap,Validation,0.992,0.068,0.092
band_gap,Test,0.995,0.077,0.096
formation_energy,Train,0.997,0.044,0.055
formation_energy,Validation,0.997,0.038,0.044
formation_energy,Test,0.994,0.065,0.072
energy_hull,Train,0.998,0.035,0.045
energy_hull,Validation,0.999,0.023,0.031
energy_hull,Test,0.998,0.039,0.051
bulk_modulus,Train,0.99,4.977,6.145
bulk_modulus,Validation,0.985,6.137,7.802
bulk_modulus,Test,0.967,6.668,7.681
shear_modulus,Train,0.997,2.672,3.279
shear_modulus,Validation,0.993,2.881,3.596
shear_modulus,Test,0.966,3.523,4.427
young_modulus,Train,0.993,8.577,10.619
young_modulus,Validation,0.995,5.692,7.221
young_modulus,Test,0.971,7.377,10.124
E_ads_DFT_eV,Train,0.995,0.055,0.069
E_ads_DFT_eV,Validation,0.996,0.061,0.077
E_ads_DFT_eV,Test,0.992,0.064,0.094
