material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap_DFT,band_gap_CGCNN,formation_energy_DFT,formation_energy_CGCNN,energy_hull_DFT,energy_hull_CGCNN,bulk_modulus_DFT,bulk_modulus_CGCNN,shear_modulus_DFT,shear_modulus_CGCNN,young_modulus_DFT,young_modulus_CGCNN
4975,LiCr4(PO4)8,9.258245,-8.03573,0.3393,0.462,-2.025763572207793,-2.146,,1.788,,27.703,,15.924,,39.69
2431,Li(NF5)6,9.154723,-7.47787,,2.26,,-1.974,,0.207,,34.886,,17.65,,44.747
2783,Li(NF5)6,8.881103,-7.35138,,2.26,,-1.974,,0.207,,34.886,,17.65,,44.747
5199,LiCr9O27,9.249854,-7.10229,1.902,1.996,-1.70516,-1.789,2.5734,2.782,22.91,19.615,12.05,12.168,30.75748328794256,30.005
5207,LiBi4F20,9.301582,-6.82277,1.589,1.742,-1.80548,-2.031,0.0846,-0.015,35.21,34.98,24.41,17.649,59.4838888034451,44.87
1845,In2S,7.13687,-5.54753,,1.015,,-0.801,,-0.021,,23.494,,11.995,,30.617
1592,GaSe,7.13609,-4.93224,0.725,0.698,-0.58159,-0.537,0.029,0.075,33.0,31.133,21.14,18.923,52.26052938238721,46.979
1289,P4Cl,6.26334,-4.87211,,0.898,,-0.1,,1.453,,21.134,,10.393,,25.685
908,VS2,6.11302,-4.86907,0.0,0.012,-0.94178,-0.938,2.099,2.141,49.36,51.557,29.91,29.791,74.65148828585876,74.921
1810,TaS3,6.65497,-4.82982,0.0,-0.059,-0.467893198046875,-0.357,,1.874,,87.018,,51.428,,128.79
1117,TlBr3,6.89877,-4.70072,2.0894000000000004,2.205,-0.39339403000000006,-0.392,,0.525,,29.841,,11.82,,29.905
7711,BaThBr6,6.25989,-4.51082,2.922,3.348,-1.92317,-1.974,0.0,-0.178,,29.056,,14.322,,34.939
6151,InPt2,6.41895,-4.40574,0.0,-0.052,-0.39745614319444417,-0.246,,0.624,,62.709,,32.75,,82.302
2376,PF5,5.80719,-4.39188,7.356,7.972,-2.57302,-2.898,0.0,-0.107,13.99,6.218,7.43,6.365,18.937475708502024,16.46
6950,VSe,6.23494,-4.28669,0.0,0.069,-0.51504,-0.545,1.6556,1.632,93.16,74.339,20.69,44.595,57.79166339074524,111.197
7076,ZrS2,6.20593,-4.22558,0.911,0.828,-1.68597,-1.708,1.8375,1.898,44.09,44.697,31.87,30.768,77.04602595345438,75.444
